City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,xiazhuang,34.9161,118.6389,28.9,34,100,4.41,CN,1719189128
202,kargasok,59.0556,80.8572,21.07,79,74,3.04,RU,1719189129
203,talodi,10.6325,30.3797,24.88,65,100,2.14,SD,1719189129
204,plastun,44.7561,136.2939,9.56,97,100,2.65,RU,1719189129
205,lakheri,25.6667,76.1667,32.04,56,8,2.5,IN,1719189129
206,kone,-21.0595,164.8658,28.41,49,99,3.18,NC,1719189130
207,sao paulo de olivenca,-3.3783,-68.8725,23.74,91,11,0.7,BR,1719189130
208,viet tri,21.3019,105.4308,26.97,76,100,3.42,VN,1719189130
209,tarawa,1.419,172.984,31.05,74,20,2.57,KI,1719189130
210,dondo,-19.6094,34.7431,18.73,93,90,3.19,MZ,1719189131
211,saint-francois,46.4154,3.9054,14.82,88,0,3.09,FR,1719189131
212,ngereklmadel,7.4883,134.4856,32.05,74,75,3.6,PW,1719189131
213,wynyard,-41.0,145.7167,12.12,68,100,4.3,AU,1719189131
214,newman,37.3138,-121.0208,42.13,9,0,6.15,US,1719189132
215,el granada,37.5027,-122.4694,34.95,77,0,9.77,US,1719189132
216,fortuna,40.5982,-124.1573,17.19,74,75,6.17,US,1719189133
217,rawai,7.7797,98.3253,25.06,71,100,6.04,TH,1719189133
218,port saint john's,-31.6229,29.5448,17.18,65,0,3.14,ZA,1719189133
219,hadibu,12.65,54.0333,27.73,81,100,10.51,YE,1719189133
220,lihue,21.9789,-159.3672,31.58,78,75,8.23,US,1719189134
221,aasiaat,68.7098,-52.8699,2.53,87,100,3.34,GL,1719189134
222,garoowe,8.4054,48.4845,24.43,70,100,12.61,SO,1719189134
223,ar ruways,24.1103,52.7306,31.91,78,0,4.13,AE,1719189135
224,wainwright,52.839,-110.8572,17.2,84,100,9.33,CA,1719189135
225,banfora,10.6333,-4.7667,26.41,74,24,1.64,BF,1719189135
226,touros,-5.1989,-35.4608,24.19,88,9,4.85,BR,1719189135
227,yen bai,21.7,104.8667,27.93,89,100,0.78,VN,1719189136
228,tindouf,27.6711,-8.1474,29.25,39,0,7.72,DZ,1719189136
229,daru,-9.0763,143.2092,25.9,90,82,5.66,PG,1719189136
230,lompoc,34.6391,-120.4579,28.77,57,0,5.66,US,1719189039
231,laguna,38.421,-121.4238,40.05,22,0,4.63,US,1719189136
232,fortaleza,-3.7227,-38.5247,25.68,88,40,4.12,BR,1719189137
233,boa vista,2.8197,-60.6733,26.99,83,40,2.06,BR,1719189137
234,jurbarkas,55.0778,22.7664,13.5,98,100,2.41,LT,1719189137
235,kikwit,-5.041,18.8162,21.41,61,79,0.79,CD,1719189138
236,kapa'a,22.0752,-159.319,31.99,83,75,8.23,US,1719189138
237,port nelson,23.6333,-74.8333,27.9,76,85,7.42,BS,1719189138
238,juneau,58.3019,-134.4197,16.9,89,100,5.14,US,1719188842
239,baardheere,2.3446,42.2764,23.54,81,100,6.25,SO,1719189139
240,veraval,20.9,70.3667,28.34,76,100,4.5,IN,1719189139
241,manhattan,40.7834,-73.9662,32.81,56,20,8.75,US,1719189139
242,azemmour,33.2895,-8.3425,20.23,89,0,4.21,MA,1719189139
243,acapulco de juarez,16.8634,-99.8901,29.9,70,40,2.06,MX,1719189140
244,vila do maio,15.1333,-23.2167,23.44,83,57,7.63,CV,1719189140
245,lucea,18.451,-78.1736,26.92,94,100,5.35,JM,1719189140
246,roanoke,37.271,-79.9414,30.36,60,100,1.75,US,1719189140
247,dalican,6.9667,124.4,28.69,76,100,1.0,PH,1719189141
248,lamu,-2.2717,40.902,25.2,80,100,8.59,KE,1719189141
249,goma,-1.6792,29.2228,16.36,81,92,1.48,CD,1719189141
250,gao,16.6362,1.637,32.69,32,83,3.66,ML,1719189142
251,whakatane,-37.9585,176.9854,14.32,95,100,1.79,NZ,1719189142
252,saquarema,-22.92,-42.5103,22.25,66,0,3.36,BR,1719189142
253,broken hill,-31.95,141.4333,10.85,54,100,7.49,AU,1719188991
254,richards bay,-28.783,32.0377,15.63,79,0,2.69,ZA,1719189143
255,fale old settlement,-9.3852,-171.2468,27.9,79,98,9.73,TK,1719189143
256,nova vicosa,-17.8919,-39.3719,22.61,89,32,2.97,BR,1719189143
257,selfoss,63.9331,-20.9971,7.8,85,100,2.92,IS,1719189144
258,galliano,29.4422,-90.2992,31.0,62,0,1.54,US,1719189144
259,kruisfontein,-34.0033,24.7314,12.81,68,0,0.66,ZA,1719189145
260,margate,51.3813,1.3862,17.05,79,95,0.89,GB,1719189145
261,suining,30.508,105.5733,25.58,81,100,0.8,CN,1719189145
262,kabare,-2.4683,28.8242,14.74,92,95,0.48,CD,1719189145
263,nizhneudinsk,54.9076,99.0276,16.12,66,0,1.19,RU,1719189146
264,shawinigan,46.5668,-72.7491,16.23,94,100,2.57,CA,1719189146
265,peniche,39.3558,-9.3811,18.49,93,23,6.87,PT,1719189146
266,hami,42.8,93.45,31.94,9,0,3.88,CN,1719189147
267,inhambane,-23.865,35.3833,20.75,81,54,3.88,MZ,1719189147
268,atafu village,-8.5421,-172.5159,28.01,79,98,8.57,TK,1719189147
269,kingston,17.997,-76.7936,28.53,74,20,5.66,JM,1719189148
270,el tigre,8.8875,-64.2454,24.55,88,100,3.55,VE,1719189148
271,katsuren-haebaru,26.3369,127.8719,31.43,76,0,6.69,JP,1719189149
272,guerrero negro,27.9769,-114.0611,22.42,66,3,7.42,MX,1719189149
273,kirakira,-10.4544,161.9205,28.57,78,99,4.08,SB,1719189149
274,flying fish cove,-10.4217,105.6791,25.82,83,75,6.69,CX,1719189150
275,kalmunai,7.4167,81.8167,26.94,73,76,1.99,LK,1719189150
276,brokopondo,4.75,-55.1667,25.75,86,100,2.97,SR,1719189150
277,luderitz,-26.6481,15.1594,17.57,52,0,3.77,NA,1719189150
278,namsos,64.4662,11.4957,11.95,71,100,6.17,NO,1719189151
279,mochudi,-24.4167,26.15,9.77,78,0,1.28,BW,1719189151
280,juhaynah,26.6732,31.4976,29.18,19,0,1.39,EG,1719189151
281,medina,24.4686,39.6142,36.24,7,0,5.14,SA,1719189151
282,port douglas,-16.4833,145.4667,23.59,72,78,5.31,AU,1719189152
283,severo-yeniseyskiy,60.3725,93.0408,15.5,64,6,3.29,RU,1719189152
284,severoural'sk,60.1533,59.952,14.59,99,100,2.81,RU,1719189153
285,wildwood,38.5828,-90.6629,32.28,46,0,4.12,US,1719189153
286,ola,59.5833,151.2833,9.97,85,88,2.93,RU,1719189153
287,jiuquan,39.7432,98.5174,22.43,26,0,4.15,CN,1719189153
288,asbestos,45.7668,-71.9324,22.75,99,100,1.17,CA,1719189154
